variant,contrast,dataset,case_label,control_label,module,test,n_case,n_control,mean_case,mean_control,delta_case_minus_control,ci95_low,ci95_high,p_value,effect_size_cohen_d,direction,supports_ama_attenuation_direction,fdr_within_all_module_tests
original_overlapping,GSE217772_TOF_RV_vs_healthy_RV,GSE217772,TOF right ventricle,healthy right ventricle,AMA,welch_t,5,5,1.5414029666898783,-6.328271240363392e-16,1.541402966689879,0.0367682072001807,3.046037726179577,0.04589791880709139,1.523211147952558,higher_in_case,True,0.18359167522836556
original_overlapping,GSE132176_TOF_PRE_CPB_vs_ASD_PRE_CPB,GSE132176,TOF pre-CPB right atrium,ASD pre-CPB right atrium,AMA,welch_t,10,10,-1.0091663740560688,8.326672684688674e-16,-1.0091663740560697,-1.7755776522233926,-0.24275509588874677,0.012724712619702181,-1.2373141515591255,lower_in_case,False,0.10179770095761745
original_overlapping,GSE132176_TOF_POST_vs_PRE_CPB_paired,GSE132176,TOF post-CPB,TOF pre-CPB,AMA,paired_t,10,10,-0.010755939158904038,-1.3988810110276972e-15,-0.010755939158902661,-0.34311961165598687,0.32160773333818155,0.9432419357479028,-0.023150350035889743,lower_in_case,False,0.9659691847732292
original_overlapping,GSE132176_ASD_POST_vs_PRE_CPB_paired,GSE132176,ASD post-CPB,ASD pre-CPB,AMA,paired_t,10,10,0.13136896606181353,8.326672684688674e-16,0.1313689660618127,-0.5464031657341596,0.809141097857785,0.6713876346527242,0.13865382286156436,higher_in_case,True,0.7957186781069324
original_overlapping,GSE23959_HLHS_ventricle_vs_healthy_RV,GSE23959,HLHS ventricle,healthy right ventricle,AMA,welch_t,6,5,0.32456177243298284,-5.995204332975846e-16,0.32456177243298345,-0.8062958999159138,1.4554194447818807,0.5071288812389941,0.4524826127973893,higher_in_case,True,0.7316711827346779
original_overlapping,GSE23959_HLHS_ventricle_vs_all_healthy_ventricles_sensitivity,GSE23959,HLHS ventricle,all healthy ventricles,AMA,welch_t,6,10,0.14659171044327515,-2.2204460492503132e-17,0.14659171044327518,-0.5642064706423513,0.8573898915289015,0.6648710900786691,0.19681234586961707,higher_in_case,True,0.7957186781069324
original_disjoint,GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF right ventricle,healthy right ventricle,AMA,welch_t,22,4,0.5677658994387992,4.440892098500626e-16,0.5677658994387987,-0.8294916994641107,1.9650234983417083,0.38240708810192026,0.30658122413417394,higher_in_case,True,0.6440540431190236
original_disjoint,GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF right ventricle,all healthy ventricles,AMA,welch_t,22,8,0.6208870964700703,7.494005416219807e-16,0.6208870964700696,-0.5093015465051175,1.7510757394452567,0.2698954466947793,0.3214570218949392,higher_in_case,True,0.5080384878960551
original_disjoint,GSE217772_TOF_RV_vs_healthy_RV,GSE217772,TOF right ventricle,healthy right ventricle,AMA,welch_t,5,5,1.6210078906524896,-6.661338147750939e-17,1.6210078906524896,0.15360744281915273,3.0884083384858263,0.03463642665462528,1.6377049643792703,higher_in_case,True,0.15833795042114415
original_disjoint,GSE132176_TOF_PRE_CPB_vs_ASD_PRE_CPB,GSE132176,TOF pre-CPB right atrium,ASD pre-CPB right atrium,AMA,welch_t,10,10,-0.977081980413583,-1.2934098236883074e-15,-0.9770819804135816,-1.7424150597569295,-0.2117489010702338,0.015224769530429814,-1.199789627554182,lower_in_case,False,0.12179815624343851
