contrast,dataset,sample,role,module,raw_module_score,z_vs_control
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-18,case,tgfb_endmt,5.9033456454525846,-8.38599113870762
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-19,case,tgfb_endmt,6.147377104371965,-7.582807582527005
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-07,case,tgfb_endmt,9.153476007779428,2.3112004202162084
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-08,case,tgfb_endmt,7.875458501452219,-1.8951533430995406
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-09,case,tgfb_endmt,9.048321187805573,1.9651031480442824
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-13,case,tgfb_endmt,8.734080194263676,0.9308381405392756
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-14,case,tgfb_endmt,7.616112989443217,-2.748740218895289
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-15,case,tgfb_endmt,8.156497376244308,-0.9701668520951962
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-01,case,tgfb_endmt,8.075666901350749,-1.236205126669562
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-03,case,tgfb_endmt,8.36354303733173,-0.28871507903137866
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-06,case,tgfb_endmt,8.179111526087496,-0.8957366398123888
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-10,case,tgfb_endmt,8.847053359836721,1.3026680237836183
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-02,case,tgfb_endmt,9.126288986499393,2.2217194634151816
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-11,case,tgfb_endmt,7.375806083183726,-3.539665111935508
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-12,case,tgfb_endmt,8.357322433505459,-0.30918902417312416
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-21,case,tgfb_endmt,7.859045665619134,-1.9491730990351108
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-16,case,tgfb_endmt,8.256825660267019,-0.6399552133839723
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-17,case,tgfb_endmt,8.230133589669796,-0.7278071332923154
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-20,case,tgfb_endmt,8.156293589508914,-0.9708375777285266
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-22,case,tgfb_endmt,7.964124141445002,-1.6033270992382505
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,NH-03,control,tgfb_endmt,8.573364899887853,0.401874037955958
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,NH-05,control,tgfb_endmt,8.688937762616979,0.7822603344433291
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,NH-06,control,tgfb_endmt,8.034248753570056,-1.3725251543095274
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,NH-07,control,tgfb_endmt,8.574869124994642,0.4068249114044753
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,NH-01,control,tgfb_endmt,8.099598415050194,-1.157439059527967
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,NH-02,control,tgfb_endmt,8.282745915802098,-0.5546435772942481
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,NH-04,control,tgfb_endmt,8.42266039275284,-0.09414144508524525
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,NH-08,control,tgfb_endmt,8.933682026071203,1.587789952413243
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-04,case,AMA,0.2851746835433117,0.2851746835433117
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-05,case,AMA,0.6393819939165054,0.6393819939165054
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-18,case,AMA,7.00066371918487,7.00066371918487
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-19,case,AMA,5.3559730471458336,5.3559730471458336
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-07,case,AMA,-2.223559364847627,-2.223559364847627
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-08,case,AMA,0.9056219959888706,0.9056219959888706
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-09,case,AMA,-1.100388933382687,-1.100388933382687
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-13,case,AMA,-0.8559048636804846,-0.8559048636804846
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-14,case,AMA,1.661049153167448,1.661049153167448
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-15,case,AMA,0.8638784823184452,0.8638784823184452
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-01,case,AMA,0.6903305591957277,0.6903305591957277
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-03,case,AMA,-0.38870539142204413,-0.38870539142204413
