contrast,dataset,sample,role,module,raw_module_score,z_vs_control
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-08,case,tgfb_plasticity_core,6.898055785176751,-0.5078984932046517
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-09,case,tgfb_plasticity_core,7.503373650986976,1.532833332641511
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-13,case,tgfb_plasticity_core,7.420982365693714,1.2550643660089535
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-14,case,tgfb_plasticity_core,6.461047247143608,-1.9812024911579131
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-15,case,tgfb_plasticity_core,7.1552648620158195,0.35924054010212125
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-01,case,tgfb_plasticity_core,7.157114949768414,0.365477813393691
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-03,case,tgfb_plasticity_core,7.0654547563003165,0.05646021365179397
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-06,case,tgfb_plasticity_core,7.2038255339448565,0.522955035059931
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-10,case,tgfb_plasticity_core,7.560320443130567,1.7248202830873218
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-02,case,tgfb_plasticity_core,7.913050197306132,2.913991916581853
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-11,case,tgfb_plasticity_core,6.645574457517495,-1.3590986805582406
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-12,case,tgfb_plasticity_core,7.367637116039637,1.0752194367979688
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-21,case,tgfb_plasticity_core,6.883192126106104,-0.5580089291049628
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-16,case,tgfb_plasticity_core,7.04808273646616,-0.002106757120399413
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-17,case,tgfb_plasticity_core,7.065476336490526,0.056532967792150064
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-20,case,tgfb_plasticity_core,7.2833287782942415,0.7909874361598848
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-22,case,tgfb_plasticity_core,6.927105362805685,-0.40996251453433197
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,NH-03,control,tgfb_plasticity_core,7.319807957625462,0.9139711219996008
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,NH-05,control,tgfb_plasticity_core,7.149402143692715,0.3394753282296504
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,NH-06,control,tgfb_plasticity_core,6.523178226165059,-1.771737888472938
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,NH-07,control,tgfb_plasticity_core,6.908200207869671,-0.4736982037144903
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,NH-01,control,tgfb_plasticity_core,6.874484721289482,-0.5873645439537374
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,NH-02,control,tgfb_plasticity_core,7.0495002643685725,0.002672210208783919
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,NH-04,control,tgfb_plasticity_core,7.062765953742184,0.04739534829142049
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,NH-08,control,tgfb_plasticity_core,7.502321634248089,1.5292866274116952
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-04,case,AMA,0.10115592933083123,0.10115592933083123
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-05,case,AMA,0.5672900945911247,0.5672900945911247
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-18,case,AMA,8.01240211745458,8.01240211745458
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-19,case,AMA,5.820794692039055,5.820794692039055
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-07,case,AMA,-1.8828711850343545,-1.8828711850343545
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-08,case,AMA,0.7376401268466773,0.7376401268466773
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-09,case,AMA,-0.5607216141944851,-0.5607216141944851
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-13,case,AMA,-0.6047103548684443,-0.6047103548684443
