contrast,dataset,gene,gene_set,present,test,n_case,n_control,mean_case,mean_control,delta_case_minus_control,ci95_low,ci95_high,p_value,effect_size_cohen_d,fdr_within_contrast
GSE132176_ASD_POST_vs_PRE_CPB_paired,GSE132176,SMAD3,tgfb_endmt,True,paired_t,10,10,4.613868699999999,4.557637075,0.056231624999999855,-0.020074735700996327,0.13253798570099604,0.12985799910038756,0.5271602643366193,0.2848498044782695
GSE132176_ASD_POST_vs_PRE_CPB_paired,GSE132176,SNAI1,tgfb_endmt,True,paired_t,10,10,3.5171904000000005,3.3552496999999994,0.16194070000000008,0.06522493143034679,0.25865646856965335,0.004297481742656463,1.1977922505914171,0.027200852354084246
GSE132176_ASD_POST_vs_PRE_CPB_paired,GSE132176,SNAI2,tgfb_endmt,True,paired_t,10,10,7.503193400000001,8.4686126,-0.9654192000000001,-1.4389562097476953,-0.491882190252305,0.0012687748464615357,-1.458427277404659,0.012325241365626348
GSE132176_ASD_POST_vs_PRE_CPB_paired,GSE132176,SOX17,arterial_maturation,True,paired_t,10,10,4.7698499,3.99100725,0.77884265,0.46535926261970834,1.0923260373802917,0.000325715385101324,1.7772886563398822,0.005537161546722508
GSE132176_ASD_POST_vs_PRE_CPB_paired,GSE132176,TAGLN,tgfb_endmt,True,paired_t,10,10,7.213840066666667,6.6884123,0.5254277666666666,0.12478614144258288,0.9260693918907503,0.015785725528028892,0.938166076137284,0.06456808599340189
GSE132176_ASD_POST_vs_PRE_CPB_paired,GSE132176,TEK,endothelial_identity,True,paired_t,10,10,6.0318704499999996,5.88335515,0.14851529999999985,-0.016746818546657494,0.3137774185466572,0.07259091409505235,0.6428662928420013,0.21461661558537215
GSE132176_ASD_POST_vs_PRE_CPB_paired,GSE132176,TGFB1,tgfb_endmt,True,paired_t,10,10,4.3166285,4.271124250000001,0.04550424999999984,-0.025918583694817393,0.11692708369481708,0.1833882603877542,0.4557615233750885,0.3667765207755084
GSE132176_ASD_POST_vs_PRE_CPB_paired,GSE132176,TGFB2,tgfb_endmt,True,paired_t,10,10,3.37969794,3.40533672,-0.025638780000000104,-0.1341568592814098,0.08287929928140961,0.6059699388864573,-0.16901219091890635,0.7984121583983063
GSE132176_ASD_POST_vs_PRE_CPB_paired,GSE132176,TGFBR1,tgfb_endmt,True,paired_t,10,10,4.9640182,5.190967249999999,-0.22694904999999982,-0.3893291108930345,-0.06456898910696512,0.01151898014113871,-0.9998122265019149,0.05221937663982882
GSE132176_ASD_POST_vs_PRE_CPB_paired,GSE132176,TGFBR2,tgfb_endmt,True,paired_t,10,10,6.843868599999999,6.8546263,-0.010757700000000004,-0.1781742238867198,0.15665882388671978,0.8876303076334571,-0.04596675888795628,0.9580771574456363
GSE132176_ASD_POST_vs_PRE_CPB_paired,GSE132176,THBD,flow_mechanosensing,True,paired_t,10,10,5.3467220666666675,4.505229,0.841493066666667,0.3284486481243929,1.3545374852089411,0.004842137300223525,1.1733250666225343,0.027438778034599973
